DateTime,Date,Hour,X
2016-12-01 00:00:00,2016-12-01,0,0.0066
2016-12-01 01:00:00,2016-12-01,1,0.0042
2016-12-01 02:00:00,2016-12-01,2,0.0049
2016-12-01 03:00:00,2016-12-01,3,0.0122
2016-12-01 04:00:00,2016-12-01,4,0.0309
2016-12-01 05:00:00,2016-12-01,5,0.0758
2016-12-01 06:00:00,2016-12-01,6,0.1007
2016-12-01 07:00:00,2016-12-01,7,0.2402
2016-12-01 08:00:00,2016-12-01,8,0.2007
2016-12-01 09:00:00,2016-12-01,9,0.2042
2016-12-01 10:00:00,2016-12-01,10,0.075
2016-12-01 11:00:00,2016-12-01,11,0.0538
2016-12-01 12:00:00,2016-12-01,12,0.0489
2016-12-01 13:00:00,2016-12-01,13,0.0531
2016-12-01 14:00:00,2016-12-01,14,0.0469
2016-12-01 15:00:00,2016-12-01,15,0.0395
2016-12-01 16:00:00,2016-12-01,16,0.0361
2016-12-01 17:00:00,2016-12-01,17,0.0398
2016-12-01 18:00:00,2016-12-01,18,0.0297
2016-12-01 19:00:00,2016-12-01,19,0.0275
2016-12-01 20:00:00,2016-12-01,20,0.0231
2016-12-01 21:00:00,2016-12-01,21,0.0181
2016-12-01 22:00:00,2016-12-01,22,0.0129
2016-12-01 23:00:00,2016-12-01,23,0.01
2016-12-02 00:00:00,2016-12-02,0,0.0055
2016-12-02 01:00:00,2016-12-02,1,0.0046
2016-12-02 02:00:00,2016-12-02,2,0.0045
2016-12-02 03:00:00,2016-12-02,3,0.01
2016-12-02 04:00:00,2016-12-02,4,0.0292
2016-12-02 05:00:00,2016-12-02,5,0.0736
2016-12-02 06:00:00,2016-12-02,6,0.1884
2016-12-02 07:00:00,2016-12-02,7,0.2191
2016-12-02 08:00:00,2016-12-02,8,0.093
2016-12-02 09:00:00,2016-12-02,9,0.0855
2016-12-02 10:00:00,2016-12-02,10,0.0742
2016-12-02 11:00:00,2016-12-02,11,0.0593
2016-12-02 12:00:00,2016-12-02,12,0.0551
2016-12-02 13:00:00,2016-12-02,13,0.0573
2016-12-02 14:00:00,2016-12-02,14,0.0503
2016-12-02 15:00:00,2016-12-02,15,0.0405
2016-12-02 16:00:00,2016-12-02,16,0.0386
2016-12-02 17:00:00,2016-12-02,17,0.0438
2016-12-02 18:00:00,2016-12-02,18,0.0353
2016-12-02 19:00:00,2016-12-02,19,0.0311
2016-12-02 20:00:00,2016-12-02,20,0.0266
2016-12-02 21:00:00,2016-12-02,21,0.0242
2016-12-02 22:00:00,2016-12-02,22,0.0195
2016-12-02 23:00:00,2016-12-02,23,0.0124
2016-12-03 00:00:00,2016-12-03,0,0.0084
2016-12-03 01:00:00,2016-12-03,1,0.0059
2016-12-03 02:00:00,2016-12-03,2,0.0054
2016-12-03 03:00:00,2016-12-03,3,0.0078
2016-12-03 04:00:00,2016-12-03,4,0.0139
2016-12-03 05:00:00,2016-12-03,5,0.0286
2016-12-03 06:00:00,2016-12-03,6,0.0326
2016-12-03 07:00:00,2016-12-03,7,0.0346
2016-12-03 08:00:00,2016-12-03,8,0.0472
2016-12-03 09:00:00,2016-12-03,9,0.0523
2016-12-03 10:00:00,2016-12-03,10,0.0483
2016-12-03 11:00:00,2016-12-03,11,0.0477
2016-12-03 12:00:00,2016-12-03,12,0.048
2016-12-03 13:00:00,2016-12-03,13,0.0491
2016-12-03 14:00:00,2016-12-03,14,0.047
2016-12-03 15:00:00,2016-12-03,15,0.0509
2016-12-03 16:00:00,2016-12-03,16,0.0571
2016-12-03 17:00:00,2016-12-03,17,0.0593
2016-12-03 18:00:00,2016-12-03,18,0.0498
2016-12-03 19:00:00,2016-12-03,19,0.0355
2016-12-03 20:00:00,2016-12-03,20,0.0184
2016-12-03 21:00:00,2016-12-03,21,0.0254
2016-12-03 22:00:00,2016-12-03,22,0.0219
2016-12-03 23:00:00,2016-12-03,23,0.0152
2016-12-04 00:00:00,2016-12-04,0,0.01
2016-12-04 01:00:00,2016-12-04,1,0.0063
2016-12-04 02:00:00,2016-12-04,2,0.005
2016-12-04 03:00:00,2016-12-04,3,0.0053
2016-12-04 04:00:00,2016-12-04,4,0.0069
2016-12-04 05:00:00,2016-12-04,5,0.0138
2016-12-04 06:00:00,2016-12-04,6,0.0169
2016-12-04 07:00:00,2016-12-04,7,0.0206
2016-12-04 08:00:00,2016-12-04,8,0.0281
2016-12-04 09:00:00,2016-12-04,9,0.0405
2016-12-04 10:00:00,2016-12-04,10,0.0416
2016-12-04 11:00:00,2016-12-04,11,0.0442
2016-12-04 12:00:00,2016-12-04,12,0.0454
2016-12-04 13:00:00,2016-12-04,13,0.0479
2016-12-04 14:00:00,2016-12-04,14,0.0512
2016-12-04 15:00:00,2016-12-04,15,0.0488
2016-12-04 16:00:00,2016-12-04,16,0.0515
2016-12-04 17:00:00,2016-12-04,17,0.053
2016-12-04 18:00:00,2016-12-04,18,0.0382
2016-12-04 19:00:00,2016-12-04,19,0.0318
2016-12-04 20:00:00,2016-12-04,20,0.0278
2016-12-04 21:00:00,2016-12-04,21,0.0252
2016-12-04 22:00:00,2016-12-04,22,0.0181
2016-12-04 23:00:00,2016-12-04,23,0.0118
2016-12-05 00:00:00,2016-12-05,0,0.0067
2016-12-05 01:00:00,2016-12-05,1,0.0047
2016-12-05 02:00:00,2016-12-05,2,0.0051
2016-12-05 03:00:00,2016-12-05,3,0.0094
2016-12-05 04:00:00,2016-12-05,4,0.0302
2016-12-05 05:00:00,2016-12-05,5,0.0738
2016-12-05 06:00:00,2016-12-05,6,0.1131
2016-12-05 07:00:00,2016-12-05,7,0.2074
2016-12-05 08:00:00,2016-12-05,8,0.0915
2016-12-05 09:00:00,2016-12-05,9,0.0829
2016-12-05 10:00:00,2016-12-05,10,0.0678
2016-12-05 11:00:00,2016-12-05,11,0.0529
2016-12-05 12:00:00,2016-12-05,12,0.0515
2016-12-05 13:00:00,2016-12-05,13,0.0525
2016-12-05 14:00:00,2016-12-05,14,0.046
2016-12-05 15:00:00,2016-12-05,15,0.0402
2016-12-05 16:00:00,2016-12-05,16,0.0348
2016-12-05 17:00:00,2016-12-05,17,0.0365
2016-12-05 18:00:00,2016-12-05,18,0.0283
2016-12-05 19:00:00,2016-12-05,19,0.0245
2016-12-05 20:00:00,2016-12-05,20,0.0214
2016-12-05 21:00:00,2016-12-05,21,0.021
2016-12-05 22:00:00,2016-12-05,22,0.0138
2016-12-05 23:00:00,2016-12-05,23,0.0097
2016-12-06 00:00:00,2016-12-06,0,0.0062
2016-12-06 01:00:00,2016-12-06,1,0.0044
2016-12-06 02:00:00,2016-12-06,2,0.0046
2016-12-06 03:00:00,2016-12-06,3,0.0109
2016-12-06 04:00:00,2016-12-06,4,0.0319
2016-12-06 05:00:00,2016-12-06,5,0.0753
2016-12-06 06:00:00,2016-12-06,6,0.0967
2016-12-06 07:00:00,2016-12-06,7,0.1607
2016-12-06 08:00:00,2016-12-06,8,0.1758
2016-12-06 09:00:00,2016-12-06,9,0.2537
2016-12-06 10:00:00,2016-12-06,10,0.0653
2016-12-06 11:00:00,2016-12-06,11,0.0568
2016-12-06 12:00:00,2016-12-06,12,0.0486
2016-12-06 13:00:00,2016-12-06,13,0.0525
2016-12-06 14:00:00,2016-12-06,14,0.0462
2016-12-06 15:00:00,2016-12-06,15,0.0401
2016-12-06 16:00:00,2016-12-06,16,0.0349
2016-12-06 17:00:00,2016-12-06,17,0.0362
2016-12-06 18:00:00,2016-12-06,18,0.0307
2016-12-06 19:00:00,2016-12-06,19,0.0248
2016-12-06 20:00:00,2016-12-06,20,0.0216
